Text,expresso atau americano (Hot),expresso atau americano (Ice),cappucino (Hot),cappucino (Ice),Gula Aren(Hot),Gula Aren(Ice),Coffee Latte(Hot),Coffee Latte(Ice),Caramel Macchiato(Hot),Caramel Macchiato(Ice),mochaccino (Hot),mochaccino (Ice)
saya mau pesan caramel macchiato reguler yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
saya mau pesan iced caramel macchiato reguler 1 ya,0,0,0,0,0,0,0,0,0,1,0,0
mochaccino hot reguler satu ya mba,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan satu caramel macchiato yang iced ya mas,0,0,0,0,0,0,0,0,0,1,0,0
umm satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
aku pesan karamil makiyatu ice satu dong,0,0,0,0,0,0,0,0,0,1,0,0
mas satu caramel macchiato yang ice ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato ice sama satu mocachino yang ice juga,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato satu ya,0,0,0,0,0,0,0,0,1,0,0,0
1 caramel macchiato yang ice ya mas,0,0,0,0,0,0,0,0,0,1,0,0
1 hot mocchacino,0,0,0,0,0,0,0,0,0,0,1,0
2 caramel macchiato yang hot ya mas,0,0,0,0,0,0,0,0,1,0,0,0
dua hot caramel macchiato,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan iced mochaccino satu less ice ya,0,0,0,0,0,0,0,0,0,0,0,1
saya mau iced mochaccino ukuran reguler satu ya mba take away,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen 1 hot mocacchino ya mba,0,0,0,0,0,0,0,0,0,0,1,0
mau mocacchino ice satu sama caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,1
mau pesen hot caramel macchiato satu trus hot mochaccino satu juga ya mas,0,0,0,0,0,0,0,0,1,0,1,0
2 hot mochaccino ya mba,0,0,0,0,0,0,0,0,0,0,1,0
pesen satu caramel macchiato satu ya mas,0,0,0,0,0,0,0,0,1,0,0,0
mas hot mochaccinonya satu ya,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan caramel macchiato yang hot satu ya trus caramel macchiato yang ice satu juga,0,0,0,0,0,0,0,0,1,1,0,0
saya pesan dua hot karamil mocchaciato,0,0,0,0,0,0,0,0,1,0,0,0
mau pesen hot karamil makiyatu ya mas,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan satu mocacchino ice,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan caramel macchiato yang hot satu ya sama satu caramel macchiato yang ice,0,0,0,0,0,0,0,0,1,1,0,0
mas pesan satu mochaccino yang ice ya,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan dua mocchacino duaduanya yang hot ya mas,0,0,0,0,0,0,0,0,0,0,1,0
satu caramel macchiato yang hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku mau order mochaccino,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesan caramel macchiato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
aku mau 1 caramel macchiato yang iced dan mochaccino yang ice,0,0,0,0,0,0,0,0,0,1,0,1
mas pesan satu karamil makiyatu yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
mas pesan satu caramel macchiato ice ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh caramel macchiato ice satu dong,0,0,0,0,0,0,0,0,0,1,0,0
saya mau karamel makiyato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato ice tolong,0,0,0,0,0,0,0,0,0,1,0,0
ice caramel macchiato satu mas,0,0,0,0,0,0,0,0,0,1,0,0
mas caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh pesan caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
saya pesan satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
pesan caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
mas pesan satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
hot caramel macchiato satu dong,0,0,0,0,0,0,0,0,1,0,0,0
saya mau caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato hot tolong,0,0,0,0,0,0,0,0,1,0,0,0
hot caramel macchiato satu mas,0,0,0,0,0,0,0,0,1,0,0,0
mas caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mau caramel macchiato hot satu dong,0,0,0,0,0,0,0,0,1,0,0,0
boleh pesan caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan satu caramel macchiato hot,0,0,0,0,0,0,0,0,1,0,0,0
pesan caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mas pesan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,0,1
boleh mochaccino ice satu dong,0,0,0,0,0,0,0,0,0,0,0,1
saya mau mochaccino yang ice satu,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino ice tolong,0,0,0,0,0,0,0,0,0,0,0,1
ice mochaccino satu mas,0,0,0,0,0,0,0,0,0,0,0,1
mas mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
